popularity,duration_ms,explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,track_genre
0,245106,False,0.588,0.847,-4.164,1,0.0705,0.0601,0.0,0.662,120.041,rock
0,170720,False,0.605,0.7,-6.47,1,0.0277,0.00998,0.0,0.588,84.962,rock
0,262586,False,0.532,0.872,-3.869,1,0.0636,0.00223,0.0,0.299,127.959,rock
0,232412,False,0.417,0.682,-5.071,1,0.0295,0.0267,0.000669,0.351,105.542,rock
0,436413,False,0.666,0.935,-4.563,1,0.0445,0.00285,0.781,0.69,118.999,rock
0,245106,False,0.588,0.847,-4.164,1,0.0705,0.0601,0.0,0.662,120.041,rock
0,205213,False,0.625,0.653,-5.967,1,0.0257,0.124,0.0,0.605,110.972,rock
0,245106,False,0.588,0.847,-4.164,1,0.0705,0.0601,0.0,0.662,120.041,rock
0,187355,False,0.437,0.878,-4.687,1,0.0452,0.0112,0.0,0.623,128.043,rock
2,215666,False,0.441,0.986,-2.466,1,0.116,0.038,0.000781,0.184,123.974,rock
0,245106,False,0.588,0.847,-4.164,1,0.0705,0.0601,0.0,0.662,120.041,rock
75,181186,False,0.623,0.533,-8.164,1,0.0653,0.245,0.00717,0.247,84.982,rock
80,244013,False,0.648,0.594,-7.027,0,0.0293,0.114,0.0462,0.544,113.983,rock
73,347525,True,0.618,0.793,-5.711,1,0.0601,0.204,0.0154,0.459,101.015,rock
85,238640,True,0.515,0.43,-9.935,1,0.0372,0.0097,0.000133,0.104,91.844,rock
81,232800,False,0.472,0.671,-4.649,1,0.029,0.0129,0.0,0.0681,82.952,rock
82,229120,False,0.255,0.393,-10.654,1,0.0278,0.0577,0.00361,0.118,76.426,rock
71,189120,False,0.601,0.757,-3.341,1,0.028,0.0139,8.85e-05,0.462,82.001,rock
84,232106,False,0.743,0.446,-7.807,0,0.0683,0.0039,0.118,0.278,123.596,rock
72,236898,False,0.531,0.638,-5.145,0,0.0809,0.00409,0.0,0.445,164.079,rock
1,152144,False,0.341,0.266,-17.251,1,0.146,0.831,0.0,0.388,184.14,rock
0,268426,False,0.666,0.854,-5.051,0,0.0295,0.179,1.2e-06,0.803,125.637,rock
0,194506,False,0.511,0.714,-6.414,1,0.0368,0.0504,0.56,0.521,98.008,rock
4,238870,False,0.535,0.979,-3.593,1,0.0597,0.000666,0.0,0.432,103.996,rock
4,208920,False,0.658,0.773,-5.119,1,0.0244,0.000901,0.0,0.66,100.006,rock
1,258825,False,0.635,0.551,-7.136,1,0.0354,0.00743,1.82e-05,0.451,151.779,rock
2,258825,False,0.635,0.551,-7.136,1,0.0354,0.00743,1.82e-05,0.451,151.779,rock
0,258825,False,0.635,0.551,-7.136,1,0.0354,0.00743,1.82e-05,0.451,151.779,rock
0,208920,False,0.658,0.773,-5.119,1,0.0244,0.000901,0.0,0.66,100.006,rock
0,159226,False,0.555,0.921,-4.606,1,0.0369,0.00264,0.000205,0.775,121.141,rock
2,159226,False,0.555,0.921,-4.606,1,0.0369,0.00264,0.000205,0.775,121.141,rock
0,244866,False,0.582,0.755,-7.305,1,0.0288,0.0632,0.00658,0.311,109.061,rock
1,200053,False,0.654,0.794,-6.288,0,0.0284,0.00769,0.00134,0.678,114.62,rock
0,124653,False,0.516,0.818,-6.076,1,0.0393,0.00701,0.0,0.769,121.907,rock
0,170720,False,0.605,0.7,-6.47,1,0.0277,0.00998,0.0,0.588,84.962,rock
0,238870,False,0.535,0.979,-3.593,1,0.0597,0.000666,0.0,0.432,103.996,rock
0,229933,False,0.603,0.886,-3.777,0,0.0837,0.00045,0.0,0.395,126.027,rock
0,229933,False,0.603,0.886,-3.777,0,0.0837,0.00045,0.0,0.395,126.027,rock
2,257812,False,0.395,0.751,-8.547,0,0.0618,5.71e-05,0.838,0.455,121.561,rock
0,208920,False,0.658,0.773,-5.119,1,0.0244,0.000901,0.0,0.66,100.006,rock
0,244306,False,0.173,0.609,-7.724,1,0.0482,0.359,0.0,0.0988,197.819,rock
1,206120,False,0.261,0.947,-3.031,1,0.0487,0.000193,0.00326,0.552,185.942,rock
0,252986,False,0.462,0.765,-7.011,1,0.036,0.324,0.231,0.399,81.513,rock
0,196723,False,0.165,0.434,-8.163,1,0.0288,0.316,0.171,0.186,77.983,rock
0,124653,False,0.516,0.818,-6.076,1,0.0393,0.00701,0.0,0.769,121.907,rock
0,246933,False,0.381,0.894,-8.638,1,0.037,0.0258,0.0,0.797,205.528,rock
0,196723,False,0.165,0.434,-8.163,1,0.0288,0.316,0.171,0.186,77.983,rock
0,222226,False,0.714,0.734,-7.125,0,0.0306,0.176,0.000618,0.68,123.57,rock
0,246933,False,0.381,0.894,-8.638,1,0.037,0.0258,0.0,0.797,205.528,rock
0,213000,True,0.498,0.946,-4.792,1,0.0602,0.000121,2.53e-05,0.31,106.276,rock
0,213000,True,0.498,0.946,-4.792,1,0.0602,0.000121,2.53e-05,0.31,106.276,rock
0,238870,False,0.535,0.979,-3.593,1,0.0597,0.000666,0.0,0.432,103.996,rock
0,84973,False,0.387,0.786,-4.127,1,0.0436,0.0195,0.0,0.462,149.806,rock
0,124653,False,0.516,0.818,-6.076,1,0.0393,0.00701,0.0,0.769,121.907,rock
0,84973,False,0.387,0.786,-4.127,1,0.0436,0.0195,0.0,0.462,149.806,rock
0,84973,False,0.387,0.786,-4.127,1,0.0436,0.0195,0.0,0.462,149.806,rock
0,290160,False,0.62,0.788,-8.646,1,0.0276,0.018,0.0,0.856,137.129,rock
0,270640,False,0.522,0.639,-5.553,1,0.0246,0.129,0.0,0.437,83.377,rock
0,256359,False,0.553,0.722,-7.794,1,0.0327,0.101,2.83e-05,0.257,91.267,rock
0,84973,False,0.387,0.786,-4.127,1,0.0436,0.0195,0.0,0.462,149.806,rock
0,174160,False,0.558,0.403,-8.968,1,0.0245,0.328,0.0,0.148,81.661,rock
78,255133,False,0.245,0.64,-7.426,0,0.0608,0.131,8.11e-06,0.105,135.739,rock
76,217026,False,0.512,0.483,-7.798,1,0.0298,0.00304,0.0011,0.367,160.009,rock
68,209386,False,0.545,0.968,-3.553,0,0.0853,0.0387,0.00325,0.527,169.965,rock
71,254509,False,0.621,0.692,-6.858,1,0.0291,0.000363,1.75e-05,0.381,99.806,rock
78,262623,True,0.668,0.902,-3.924,1,0.0386,0.169,8.74e-05,0.913,119.008,rock
82,329733,False,0.592,0.767,-2.788,0,0.027,0.0021,0.00165,0.328,96.483,rock
86,222973,False,0.352,0.911,-5.23,1,0.0747,0.00121,0.0,0.236,148.033,rock
65,234013,False,0.631,0.684,-6.27,0,0.0405,0.0576,0.0,0.528,129.974,rock
79,218920,False,0.5,0.824,-5.846,0,0.0388,0.00016,0.00161,0.539,120.125,rock
80,334666,False,0.427,0.9,-3.674,1,0.0499,0.116,1.75e-05,0.599,104.655,rock
77,178013,False,0.64,0.957,-2.336,1,0.0741,0.0431,0.0,0.692,134.992,rock
67,231986,False,0.574,0.833,-6.239,0,0.0563,0.0611,0.0,0.574,86.008,rock
69,172960,False,0.361,0.871,-4.313,1,0.0393,0.0119,0.0,0.575,176.026,rock
0,238373,False,0.674,0.58,-8.081,1,0.0312,0.311,2.41e-05,0.305,128.003,rock
0,231532,True,0.376,0.586,-7.165,1,0.0434,0.0131,0.00061,0.171,149.734,rock
0,272733,False,0.571,0.836,-5.556,1,0.0371,0.194,4.09e-06,0.73,141.612,rock
0,297293,False,0.403,0.59,-5.941,1,0.0284,0.508,0.00548,0.393,141.649,rock
0,226858,False,0.739,0.48,-10.82,1,0.0263,0.718,0.00292,0.758,105.029,rock
0,238560,False,0.556,0.545,-6.768,0,0.0255,0.0635,0.0,0.193,143.991,rock
2,285024,False,0.727,0.382,-9.145,1,0.0314,0.809,0.0,0.828,115.003,rock
0,234626,False,0.544,0.848,-6.804,0,0.0288,0.00395,5.22e-05,0.489,99.039,rock
1,234626,False,0.544,0.848,-6.804,0,0.0288,0.00395,5.22e-05,0.489,99.039,rock
0,297293,False,0.403,0.59,-5.941,1,0.0284,0.508,0.00548,0.393,141.649,rock
0,252720,False,0.514,0.781,-6.703,1,0.0639,0.248,0.0,0.717,90.522,rock
0,272733,False,0.571,0.836,-5.556,1,0.0371,0.194,4.09e-06,0.73,141.612,rock
1,226826,False,0.674,0.867,-4.329,1,0.0462,0.00199,0.0,0.821,88.04,rock
0,226826,False,0.674,0.867,-4.329,1,0.0462,0.00199,0.0,0.821,88.04,rock
2,304053,False,0.303,0.976,-3.583,0,0.225,0.00266,0.135,0.193,88.536,rock
0,246733,False,0.61,0.889,-5.452,0,0.0585,0.000794,0.0865,0.506,139.903,rock
0,238653,False,0.321,0.909,-4.612,1,0.041,1.62e-05,0.139,0.209,109.653,rock
0,238653,False,0.321,0.909,-4.612,1,0.041,1.62e-05,0.139,0.209,109.653,rock
0,238653,False,0.321,0.909,-4.612,1,0.041,1.62e-05,0.139,0.209,109.653,rock
0,208004,False,0.784,0.461,-9.546,0,0.0314,0.662,5.9e-05,0.733,102.165,rock
1,171978,False,0.706,0.525,-8.879,0,0.0298,0.682,9.34e-05,0.73,89.945,rock
2,392600,False,0.327,0.985,-3.941,1,0.151,0.00177,0.108,0.218,125.232,rock
0,189356,False,0.597,0.702,-4.767,1,0.0445,0.0197,0.01,0.645,83.507,rock
0,246733,False,0.61,0.889,-5.452,0,0.0585,0.000794,0.0865,0.506,139.903,rock
0,228666,True,0.407,0.954,-3.753,1,0.0532,0.000629,0.186,0.454,171.988,rock
0,218986,False,0.557,0.665,-6.19,0,0.0328,0.321,0.000281,0.437,75.803,rock
0,194080,False,0.704,0.533,-6.94,0,0.0315,0.587,1.64e-05,0.695,94.056,rock
0,392600,False,0.327,0.985,-3.941,1,0.151,0.00177,0.108,0.218,125.232,rock
0,217213,False,0.452,0.819,-4.394,1,0.0863,0.175,0.69,0.423,124.649,rock
1,322613,False,0.411,0.767,-4.211,1,0.056,0.000621,0.00842,0.659,134.408,rock
0,212440,False,0.488,0.627,-7.266,0,0.0295,0.429,0.000133,0.482,78.979,rock
0,238653,False,0.321,0.909,-4.612,1,0.041,1.62e-05,0.139,0.209,109.653,rock
0,225616,False,0.682,0.646,-9.274,0,0.0667,0.576,2.13e-05,0.785,87.891,rock
0,254955,False,0.694,0.52,-8.758,1,0.0245,0.412,1.26e-06,0.52,108.06,rock
0,177413,False,0.554,0.757,-8.653,0,0.0705,0.00543,0.0541,0.907,148.27,rock
0,213946,False,0.32,0.515,-8.018,1,0.0412,0.373,1.74e-06,0.568,78.021,rock
0,144066,False,0.637,0.572,-6.913,0,0.107,0.113,0.0,0.615,138.177,rock
77,251186,True,0.464,0.701,-5.693,0,0.0411,0.00892,0.309,0.356,83.996,rock
71,180161,True,0.74,0.415,-8.914,1,0.0707,0.242,0.000156,0.156,136.029,rock
71,536000,False,0.264,0.363,-10.196,1,0.0338,0.501,0.00406,0.0613,124.328,rock
76,212568,False,0.646,0.85,-5.466,1,0.0428,0.363,4.01e-05,0.819,96.538,rock
76,238733,False,0.557,0.533,-6.817,0,0.0252,0.0492,0.0,0.233,143.994,rock
80,334666,False,0.427,0.9,-3.674,1,0.0499,0.116,1.75e-05,0.599,104.655,rock
76,195200,False,0.526,0.862,-6.003,1,0.0905,0.0144,0.0597,0.528,90.052,rock
72,229933,False,0.603,0.886,-3.777,0,0.0837,0.00045,0.0,0.395,126.025,rock
0,383893,False,0.738,0.607,-3.933,0,0.0845,0.00746,0.324,0.78,131.982,rock
0,270280,False,0.629,0.538,-6.79,1,0.0244,0.461,0.0,0.205,100.038,rock
0,270280,False,0.629,0.538,-6.79,1,0.0244,0.461,0.0,0.205,100.038,rock
2,213706,False,0.492,0.506,-8.022,0,0.118,0.58,0.00032,0.338,163.522,rock
1,213706,False,0.492,0.506,-8.022,0,0.118,0.58,0.00032,0.338,163.522,rock
0,297293,False,0.403,0.59,-5.941,1,0.0284,0.508,0.00548,0.393,141.649,rock
0,383893,False,0.738,0.607,-3.933,0,0.0845,0.00746,0.324,0.78,131.982,rock
0,216735,True,0.611,0.801,-5.894,0,0.0733,0.00119,0.513,0.408,96.875,rock
0,383893,False,0.738,0.607,-3.933,0,0.0845,0.00746,0.324,0.78,131.982,rock
0,383893,False,0.738,0.607,-3.933,0,0.0845,0.00746,0.324,0.78,131.982,rock
0,297293,False,0.403,0.59,-5.941,1,0.0284,0.508,0.00548,0.393,141.649,rock
1,213706,False,0.492,0.506,-8.022,0,0.118,0.58,0.00032,0.338,163.522,rock
0,216735,True,0.611,0.801,-5.894,0,0.0733,0.00119,0.513,0.408,96.875,rock
1,222773,True,0.609,0.948,-4.938,1,0.113,0.00404,0.0978,0.786,144.037,rock
0,121160,False,0.674,0.789,-6.903,1,0.0676,0.00178,0.00708,0.918,129.802,rock
0,198365,True,0.582,0.817,-6.475,1,0.0399,0.0017,0.0158,0.622,155.124,rock
0,214520,False,0.505,0.892,-5.633,0,0.139,0.00162,0.00177,0.629,154.004,rock
0,214520,False,0.505,0.892,-5.633,0,0.139,0.00162,0.00177,0.629,154.004,rock
1,297293,False,0.403,0.59,-5.941,1,0.0284,0.508,0.00548,0.393,141.649,rock
0,221000,False,0.562,0.903,-4.46,0,0.0296,0.000187,0.0939,0.791,132.013,rock
1,177440,True,0.499,0.983,-3.662,0,0.0882,0.000123,0.000246,0.0378,129.903,rock
0,222773,True,0.609,0.948,-4.938,1,0.113,0.00404,0.0978,0.786,144.037,rock
0,240213,True,0.373,0.857,-3.546,1,0.0528,0.000999,0.00138,0.235,137.084,rock
0,272733,False,0.571,0.836,-5.556,1,0.0371,0.194,4.09e-06,0.73,141.612,rock
0,222773,True,0.609,0.948,-4.938,1,0.113,0.00404,0.0978,0.786,144.037,rock
1,272733,False,0.571,0.836,-5.556,1,0.0371,0.194,4.09e-06,0.73,141.612,rock
0,222773,True,0.609,0.948,-4.938,1,0.113,0.00404,0.0978,0.786,144.037,rock
0,264266,False,0.596,0.964,-5.754,1,0.0804,9.52e-05,0.834,0.399,128.021,rock
0,222773,True,0.609,0.948,-4.938,1,0.113,0.00404,0.0978,0.786,144.037,rock
1,216735,True,0.611,0.801,-5.894,0,0.0733,0.00119,0.513,0.408,96.875,rock
0,264266,False,0.596,0.964,-5.754,1,0.0804,9.52e-05,0.834,0.399,128.021,rock
2,293293,False,0.221,0.664,-5.242,0,0.0379,0.0039,0.657,0.101,186.044,rock
0,293293,False,0.221,0.664,-5.242,0,0.0379,0.0039,0.657,0.101,186.044,rock
0,293293,False,0.221,0.664,-5.242,0,0.0379,0.0039,0.657,0.101,186.044,rock
0,293293,False,0.221,0.664,-5.242,0,0.0379,0.0039,0.657,0.101,186.044,rock
2,293293,False,0.221,0.664,-5.242,0,0.0379,0.0039,0.657,0.101,186.044,rock
0,272733,False,0.571,0.836,-5.556,1,0.0371,0.194,4.09e-06,0.73,141.612,rock
1,222773,True,0.609,0.948,-4.938,1,0.113,0.00404,0.0978,0.786,144.037,rock
1,238520,False,0.32,0.546,-8.33,1,0.0278,0.181,1.98e-06,0.263,163.824,rock
0,242520,False,0.696,0.448,-9.099,1,0.0333,0.452,2.43e-05,0.569,95.004,rock
0,121160,False,0.674,0.789,-6.903,1,0.0676,0.00178,0.00708,0.918,129.802,rock
0,242520,False,0.696,0.448,-9.099,1,0.0333,0.452,2.43e-05,0.569,95.004,rock
79,218013,False,0.56,0.936,-5.835,1,0.0439,0.00847,0.0,0.371,112.96,rock
70,185546,False,0.573,0.441,-5.799,0,0.0758,0.186,0.0,0.389,61.657,rock
66,280466,False,0.473,0.936,-4.877,1,0.0704,0.00916,0.0422,0.416,144.014,rock
84,268426,False,0.666,0.855,-5.051,0,0.0295,0.179,1.2e-06,0.803,125.639,rock
80,177280,False,0.471,0.924,-3.906,1,0.0586,0.00301,0.0,0.725,154.961,rock
55,180137,True,0.714,0.905,-5.137,0,0.245,0.0921,0.00149,0.362,118.119,rock
79,309053,False,0.593,0.749,-5.67,1,0.0475,0.0113,0.106,0.649,164.959,rock
72,238240,False,0.386,0.677,-5.83,1,0.0346,0.00841,0.00366,0.195,126.602,rock
66,342493,False,0.431,0.485,-8.085,1,0.0274,0.452,0.0,0.367,145.22,rock
65,243329,False,0.691,0.841,-7.026,0,0.0436,0.00438,4.44e-05,0.755,92.025,rock
66,190048,False,0.563,0.678,-4.717,0,0.0392,0.0228,0.0,0.134,127.883,rock
55,224973,False,0.632,0.866,-5.445,0,0.0488,0.0556,5.75e-06,0.835,87.785,rock
0,136940,False,0.705,0.927,-2.701,1,0.0776,0.0327,0.0,0.945,159.978,rock
0,273880,False,0.534,0.338,-8.608,0,0.0346,0.515,9.26e-06,0.111,120.399,rock
0,213706,False,0.492,0.506,-8.022,0,0.118,0.58,0.00032,0.338,163.522,rock
0,212392,False,0.55,0.531,-7.431,1,0.0309,0.256,0.0,0.364,98.014,rock
0,136940,False,0.705,0.927,-2.701,1,0.0776,0.0327,0.0,0.945,159.978,rock
0,136940,False,0.705,0.927,-2.701,1,0.0776,0.0327,0.0,0.945,159.978,rock
1,186906,False,0.692,0.553,-6.164,1,0.0389,0.596,3.01e-05,0.356,125.903,rock
0,249520,False,0.533,0.721,-7.309,0,0.0417,0.0338,6.24e-06,0.225,128.972,rock
1,225866,False,0.606,0.75,-4.535,0,0.0306,0.0026,0.000795,0.771,126.316,rock
0,156960,False,0.65,0.956,-4.113,1,0.0564,0.0153,3.86e-05,0.673,104.018,rock
0,267493,False,0.532,0.842,-6.152,1,0.0403,0.00131,1.2e-06,0.715,126.042,rock
1,239373,False,0.38,0.72,-5.766,1,0.0356,0.00899,0.00147,0.172,129.982,rock
0,315120,True,0.428,0.704,-8.018,0,0.0808,0.000156,0.00223,0.703,116.898,rock
0,207925,False,0.705,0.918,-2.771,0,0.0678,0.0405,0.000106,0.537,92.513,rock
0,173560,False,0.196,0.93,-5.131,1,0.0519,0.0116,0.00214,0.566,194.319,rock
0,267493,False,0.532,0.842,-6.152,1,0.0403,0.00131,1.2e-06,0.715,126.042,rock
1,236720,False,0.361,0.97,-5.69,0,0.0837,6.58e-06,0.000162,0.561,156.96,rock
0,295932,False,0.725,0.918,-2.468,1,0.0352,0.000148,0.00127,0.503,128.016,rock
0,267493,False,0.532,0.842,-6.152,1,0.0403,0.00131,1.2e-06,0.715,126.042,rock
0,267493,False,0.532,0.842,-6.152,1,0.0403,0.00131,1.2e-06,0.715,126.042,rock
0,193253,False,0.634,0.836,-3.004,1,0.0427,0.00609,0.000157,0.715,139.957,rock
0,262746,False,0.508,0.752,-5.439,0,0.0343,0.251,2.1e-05,0.554,76.07,rock
0,166040,False,0.644,0.848,-5.385,1,0.0529,0.0358,0.0,0.928,162.151,rock
0,160586,False,0.505,0.939,-4.165,1,0.0415,0.00281,0.0232,0.963,177.68,rock
1,266706,False,0.485,0.924,-4.046,1,0.0579,0.0373,1.62e-06,0.661,143.244,rock
0,207040,False,0.705,0.871,-3.557,0,0.123,0.0618,0.0,0.749,93.625,rock
0,318586,False,0.351,0.827,-5.351,1,0.0412,0.000222,0.000118,0.145,105.463,rock
0,266706,False,0.485,0.924,-4.046,1,0.0579,0.0373,1.62e-06,0.661,143.244,rock
0,262746,False,0.508,0.752,-5.439,0,0.0343,0.251,2.1e-05,0.554,76.07,rock
1,266706,False,0.485,0.924,-4.046,1,0.0579,0.0373,1.62e-06,0.661,143.244,rock
0,246920,False,0.258,0.904,-5.625,1,0.0386,2.2e-05,0.218,0.832,186.054,rock
0,262746,False,0.508,0.752,-5.439,0,0.0343,0.251,2.1e-05,0.554,76.07,rock
0,267493,False,0.532,0.842,-6.152,1,0.0403,0.00131,1.2e-06,0.715,126.042,rock
0,160586,False,0.505,0.939,-4.165,1,0.0415,0.00281,0.0232,0.963,177.68,rock
1,205946,False,0.635,0.937,-2.86,1,0.0452,0.0735,6.95e-05,0.78,108.003,rock
0,166040,False,0.644,0.848,-5.385,1,0.0529,0.0358,0.0,0.928,162.151,rock
1,310346,False,0.416,0.954,-3.157,0,0.0467,0.0021,0.0,0.498,144.724,rock
1,318586,False,0.351,0.827,-5.351,1,0.0412,0.000222,0.000118,0.145,105.463,rock
75,230866,False,0.393,0.487,-6.348,1,0.0337,0.229,0.0,0.3,151.958,rock
70,150320,False,0.394,0.327,-14.291,1,0.114,0.849,0.0,0.411,93.358,rock
51,169758,False,0.553,0.89,-4.879,1,0.0413,0.123,0.0,0.674,87.871,rock
56,262946,False,0.492,0.59,-4.593,0,0.0239,0.225,2.79e-05,0.124,91.018,rock
66,232173,False,0.537,0.656,-5.863,0,0.0411,0.0458,2.54e-06,0.45,141.873,rock
52,202250,False,0.597,0.522,-5.683,0,0.0331,0.297,0.0,0.334,119.792,rock
76,261093,False,0.483,0.753,-8.937,0,0.0832,0.425,0.000142,0.42,115.102,rock
72,186813,False,0.533,0.967,-2.543,1,0.0995,0.00791,0.0,0.782,142.018,rock
64,179374,False,0.586,0.813,-6.357,0,0.0804,0.0494,5.54e-06,0.655,149.812,rock
79,281160,False,0.256,0.641,-10.283,1,0.0552,0.199,0.0329,0.382,203.006,rock
82,269000,False,0.618,0.938,-3.442,1,0.0456,0.0179,0.0,0.875,91.455,rock
56,239986,False,0.497,0.837,-3.672,1,0.046,0.0155,0.0,0.489,86.016,rock
1,177280,False,0.474,0.916,-3.93,1,0.0624,0.00504,0.0,0.745,154.948,rock
0,177345,False,0.529,0.818,-6.622,1,0.04,6.5e-05,0.0,0.684,148.173,rock
0,177345,False,0.529,0.818,-6.622,1,0.04,6.5e-05,0.0,0.684,148.173,rock
0,177345,False,0.529,0.818,-6.622,1,0.04,6.5e-05,0.0,0.684,148.173,rock
0,177345,False,0.529,0.818,-6.622,1,0.04,6.5e-05,0.0,0.684,148.173,rock
0,200373,False,0.731,0.867,-5.881,1,0.032,0.0394,0.0,0.776,104.02,rock
0,177280,False,0.474,0.916,-3.93,1,0.0624,0.00504,0.0,0.745,154.948,rock
0,227240,False,0.486,0.843,-6.085,1,0.0635,7.21e-05,0.682,0.412,90.016,rock
3,183400,False,0.559,0.972,-3.524,1,0.0639,0.0198,6.4e-06,0.92,82.336,rock
1,200373,False,0.731,0.867,-5.881,1,0.032,0.0394,0.0,0.776,104.02,rock
0,200373,False,0.731,0.867,-5.881,1,0.032,0.0394,0.0,0.776,104.02,rock
0,200373,False,0.731,0.867,-5.881,1,0.032,0.0394,0.0,0.776,104.02,rock
0,200373,False,0.731,0.867,-5.881,1,0.032,0.0394,0.0,0.776,104.02,rock
0,200373,False,0.731,0.867,-5.881,1,0.032,0.0394,0.0,0.776,104.02,rock
54,236973,False,0.616,0.833,-7.932,1,0.0323,0.0392,9.77e-05,0.553,104.043,rock
0,200373,False,0.731,0.867,-5.881,1,0.032,0.0394,0.0,0.776,104.02,rock
1,200373,False,0.731,0.867,-5.881,1,0.032,0.0394,0.0,0.776,104.02,rock
1,201666,True,0.548,0.808,-5.484,1,0.0398,7.19e-05,0.00341,0.475,95.207,rock
0,251200,False,0.527,0.924,-4.503,1,0.0367,7.92e-05,0.0671,0.324,102.036,rock
2,201400,False,0.518,0.948,-5.579,0,0.0676,0.00512,0.0996,0.548,103.025,rock
0,357266,False,0.356,0.917,-6.005,1,0.0487,0.0336,0.0,0.523,171.172,rock
0,201400,False,0.518,0.948,-5.579,0,0.0676,0.00512,0.0996,0.548,103.025,rock
0,201400,False,0.518,0.948,-5.579,0,0.0676,0.00512,0.0996,0.548,103.025,rock
2,201400,False,0.518,0.948,-5.579,0,0.0676,0.00512,0.0996,0.548,103.025,rock
0,220226,False,0.514,0.975,-4.433,0,0.0609,7.65e-05,0.561,0.309,154.047,rock
1,222893,False,0.579,0.978,-5.327,0,0.0548,8.55e-05,0.000141,0.558,125.073,rock
0,201400,False,0.518,0.948,-5.579,0,0.0676,0.00512,0.0996,0.548,103.025,rock
0,220226,False,0.514,0.975,-4.433,0,0.0609,7.65e-05,0.561,0.309,154.047,rock
0,201400,False,0.518,0.948,-5.579,0,0.0676,0.00512,0.0996,0.548,103.025,rock
